site,year,last_year,dissection order,date_dis,infection,infection_severity,habitat,this_year,observer
ART,2020,10.46666667,11,6/6/2020,0,uninfected,Dry,0.45,vincent
ART,2020,10.46666667,101,7/27/2020,1,l,Dry,0.45,vincent
ART,2020,10.46666667,20,6/6/2020,0,uninfected,Dry,0.45,vincent
ART,2020,10.46666667,43,6/7/2020,1,m,Dry,0.45,vincent
ART,2020,10.46666667,92,7/27/2020,1,l,Dry,0.45,vincent
ART,2020,10.46666667,103,7/27/2020,1,l,Dry,0.45,vincent
ART,2020,10.46666667,17,6/6/2020,0,uninfected,Dry,0.45,vincent
ART,2020,10.46666667,63,6/8/2020,1,h,Dry,0.45,vincent
HEM,2020,32.86666667,23,6/6/2020,1,l,Wet,0.65,vincent
HEM,2020,32.86666667,24,6/6/2020,1,l,Wet,0.65,vincent
HEM,2020,32.86666667,84,7/27/2020,1,m,Wet,0.65,vincent
HEM,2020,32.86666667,106,7/27/2020,1,l,Wet,0.65,vincent
HEM,2020,32.86666667,74,6/8/2020,1,l,Wet,0.65,vincent
HEM,2020,32.86666667,60,6/7/2020,1,m,Wet,0.65,vincent
HEM,2020,32.86666667,5,6/6/2020,1,l,Wet,0.65,vincent
HEM,2020,32.86666667,6,6/6/2020,1,l,Wet,0.65,vincent
HEM,2020,32.86666667,64,6/8/2020,1,l,Wet,0.65,vincent
HEM,2020,32.86666667,90,7/27/2020,1,m,Wet,0.65,vincent
HEM,2020,32.86666667,67,6/8/2020,1,l,Wet,0.65,vincent
HEM,2020,32.86666667,81,7/25/2020,1,h,Wet,0.65,vincent
AFL,2020,18.57142857,55,6/7/2020,0,uninfected,Wet,0.4,vincent
AFL,2020,18.57142857,61,6/7/2020,1,m,Wet,0.4,vincent
AFL,2020,18.57142857,19,6/6/2020,1,l,Wet,0.4,vincent
AFL,2020,18.57142857,58,6/7/2020,0,uninfected,Wet,0.4,vincent
AFL,2020,18.57142857,87,7/27/2020,0,uninfected,Wet,0.4,vincent
AFL,2020,18.57142857,97,7/27/2020,1,l,Wet,0.4,vincent
TOH,2020,4.866666667,98,7/27/2020,1,l,Dry,0.25,vincent
TOH,2020,4.866666667,38,6/6/2020,0,uninfected,Dry,0.25,vincent
TOH,2020,4.866666667,39,6/6/2020,1,l,Dry,0.25,vincent
TOH,2020,4.866666667,100,7/27/2020,1,l,Dry,0.25,vincent
FIR,2020,5.4,73,6/8/2020,1,l,Wet,2.35,vincent
FIR,2020,5.4,22,6/6/2020,1,l,Wet,2.35,vincent
FIR,2020,5.4,102,7/27/2020,1,l,Wet,2.35,vincent
FIR,2020,5.4,68,6/8/2020,1,m,Wet,2.35,vincent
FIR,2020,5.4,96,7/27/2020,1,m,Wet,2.35,vincent
FIR,2020,5.4,95,7/27/2020,1,l,Wet,2.35,vincent
FIR,2020,5.4,26,6/6/2020,0,uninfected,Wet,2.35,vincent
FIR,2020,5.4,49,6/7/2020,1,m,Wet,2.35,vincent
FIR,2020,5.4,50,6/7/2020,1,l,Wet,2.35,vincent
FIR,2020,5.4,2,6/6/2020,0,uninfected,Wet,2.35,vincent
FIR,2020,5.4,45,6/7/2020,1,m,Wet,2.35,vincent
FIR,2020,5.4,7,6/6/2020,0,uninfected,Wet,2.35,vincent
FIR,2020,5.4,54,6/7/2020,0,uninfected,Wet,2.35,vincent
FIR,2020,5.4,15,6/6/2020,1,l,Wet,2.35,vincent
FIR,2020,5.4,62,6/8/2020,1,l,Wet,2.35,vincent
FIR,2020,5.4,86,7/27/2020,1,m,Wet,2.35,vincent
FIR,2020,5.4,12,6/6/2020,1,l,Wet,2.35,vincent
FIR,2020,5.4,93,7/27/2020,1,m,Wet,2.35,vincent
FIR,2020,5.4,4,6/6/2020,1,l,Wet,2.35,vincent
FIR,2020,5.4,69,6/8/2020,1,h,Wet,2.35,vincent
FIR,2020,5.4,13,6/6/2020,1,l,Wet,2.35,vincent
FIR,2020,5.4,53,6/7/2020,1,l,Wet,2.35,vincent
FIR,2020,5.4,31,6/6/2020,1,h,Wet,2.35,vincent
FIR,2020,5.4,79,7/25/2020,1,m,Wet,2.35,vincent
DRM,2020,3.133333333,8,6/6/2020,1,m,Wet,3.5,vincent
DRM,2020,3.133333333,65,6/8/2020,1,m,Wet,3.5,vincent
DRM,2020,3.133333333,104,7/27/2020,1,l,Wet,3.5,vincent
DRM,2020,3.133333333,18,6/6/2020,1,m,Wet,3.5,vincent
DRM,2020,3.133333333,57,6/7/2020,1,h,Wet,3.5,vincent
DRM,2020,3.133333333,27,6/6/2020,0,uninfected,Wet,3.5,vincent
DRM,2020,3.133333333,47,6/7/2020,1,l,Wet,3.5,vincent
DRM,2020,3.133333333,1,6/6/2020,1,h,Wet,3.5,vincent
DRM,2020,3.133333333,66,6/8/2020,1,l,Wet,3.5,vincent
DRM,2020,3.133333333,32,6/6/2020,1,l,Wet,3.5,vincent
DRM,2020,3.133333333,37,6/6/2020,1,l,Wet,3.5,vincent
DRM,2020,3.133333333,28,6/6/2020,0,uninfected,Wet,3.5,vincent
DRM,2020,3.133333333,48,6/7/2020,1,l,Wet,3.5,vincent
DRM,2020,3.133333333,33,6/6/2020,1,NA,Wet,3.5,vincent
DRM,2020,3.133333333,36,6/6/2020,1,m,Wet,3.5,vincent
DRM,2020,3.133333333,105,7/27/2020,1,m,Wet,3.5,vincent
DRM,2020,3.133333333,44,6/7/2020,1,l,Wet,3.5,vincent
DRM,2020,3.133333333,75,6/8/2020,1,m,Wet,3.5,vincent
DRM,2020,3.133333333,16,6/6/2020,0,uninfected,Wet,3.5,vincent
DRM,2020,3.133333333,71,6/8/2020,1,m,Wet,3.5,vincent
DRM,2020,3.133333333,14,6/6/2020,1,l,Wet,3.5,vincent
DRM,2020,3.133333333,70,6/8/2020,1,h,Wet,3.5,vincent
BAY,2020,0.625,91,7/27/2020,1,m,Wet,0.65,vincent
BAY,2020,0.625,40,6/6/2020,1,m,Wet,0.65,vincent
BAY,2020,0.625,41,6/6/2020,1,m,Wet,0.65,vincent
BAY,2020,0.625,80,7/25/2020,1,l,Wet,0.65,vincent
BAY,2020,0.625,59,6/7/2020,1,h,Wet,0.65,vincent
BAY,2020,0.625,3,6/6/2020,1,l,Wet,0.65,vincent
BAY,2020,0.625,42,6/7/2020,1,m,Wet,0.65,vincent
BAY,2020,0.625,77,6/8/2020,1,l,Wet,0.65,vincent
BAY,2020,0.625,99,7/27/2020,1,m,Wet,0.65,vincent
BAY,2020,0.625,29,6/6/2020,0,uninfected,Wet,0.65,vincent
BAY,2020,0.625,51,6/7/2020,1,NA,Wet,0.65,vincent
BAY,2020,0.625,72,6/8/2020,1,m,Wet,0.65,vincent
BAY,2020,0.625,9,6/6/2020,1,l,Wet,0.65,vincent
SCU,2020,10.13333333,21,6/6/2020,0,uninfected,Dry,0.05,vincent
SCU,2020,10.13333333,94,7/27/2020,1,m,Dry,0.05,vincent
SCU,2020,10.13333333,46,6/7/2020,1,l,Dry,0.05,vincent
DRW,2020,2.4,108,7/27/2020,0,uninfected,Dry,0.3,vincent
DRW,2020,2.4,82,7/25/2020,1,m,Dry,0.3,vincent
DRW,2020,2.4,78,6/8/2020,1,l,Dry,0.3,vincent
DRW,2020,2.4,107,7/27/2020,1,l,Dry,0.3,vincent
DRW,2020,2.4,25,6/6/2020,0,uninfected,Dry,0.3,vincent
DRW,2020,2.4,89,7/27/2020,1,l,Dry,0.3,vincent
MSP,2020,49.13333333,83,7/25/2020,1,h,Dry,0.05,vincent
NEC,2020,11.4,85,7/27/2020,1,l,Dry,0.45,vincent
NEC,2020,11.4,76,6/8/2020,1,l,Dry,0.45,vincent
NEC,2020,11.4,30,6/6/2020,0,uninfected,Dry,0.45,vincent
NEC,2020,11.4,52,6/7/2020,1,NA,Dry,0.45,vincent
NEC,2020,11.4,10,6/6/2020,1,m,Dry,0.45,vincent
NEC,2020,11.4,56,6/7/2020,1,l,Dry,0.45,vincent
NEC,2020,11.4,88,7/27/2020,0,uninfected,Dry,0.45,vincent
NEC,2020,11.4,34,6/6/2020,1,l,Dry,0.45,vincent
NEC,2020,11.4,35,6/6/2020,1,l,Dry,0.45,vincent
AFL,2021,0.4,1,04/20/2021,1,l,Wet,0.066666666666667,adam
AFL,2021,0.4,68,04/28/2021,0,uninfected,Wet,0.066666666666667,adam
AFL,2021,0.4,14,04/23/2021,0,uninfected,Wet,0.066666666666667,adam
AFL,2021,0.4,55,04/27/2021,0,uninfected,Wet,0.066666666666667,adam
ART,2021,0.45,54,04/27/2021,1,m,Dry,0,adam
ART,2021,0.45,5,04/22/2021,1,h,Dry,0,adam
ART,2021,0.45,47,04/24/2021,0,uninfected,Dry,0,adam
ART,2021,0.45,45,04/24/2021,0,uninfected,Dry,0,adam
BAY,2021,0.65,64,04/28/2021,1,l,Wet,0.08,adam
BAY,2021,0.65,56,04/27/2021,1,m,Wet,0.08,adam
DRM,2021,3.5,19,04/23/2021,1,m,Wet,0.8,adam
DRM,2021,3.5,42,04/24/2021,1,m,Wet,0.8,adam
DRM,2021,3.5,34,04/24/2021,1,h,Wet,0.8,adam
DRM,2021,3.5,18,04/23/2021,1,m,Wet,0.8,adam
